冚	kam2
扻	kam2
擒	kam4
近	kan5
哽	kang2
啃	kang2
骾	kang2
掯	kang3
扱	kap1
磕	kap1
給	kap1
𠶲	kap6
咳	kat1
勼	kau1
摳	kau1
溝	kau1
扣	kau3
釦	kau3
茄	ke1
騎	ke4
企	kei3
奇	kei4
旗	kei4
企	kei5
徛	kei5
企	kei6
𠽤	kek1
戟	kek3
劇	kek6
屐	kek6
談	keng1
琼	keng4
拘	keoi1
佢	keoi5
𠽤	kik1
鉗	kim2
鉗	kim4
㨴	kin2
搴	kin2
傾	king1
凝	king4
琼	king4
橋	kiu2
穚	kiu2
竅	kiu2
蹺	kiu2
僑	kiu4
橋	kiu4
繑	kiu5
繞	kiu5
瘸	koe4
蔃	koeng2
跔	koeng4
蓋	koi3
搉	kok1
毃	kok1
確	kok1
涸	kok3
箍	ku1
括	kut3
框	kwaang1
啦	laa1
剌	laa2
揦	laa2
喇	laa3
揦	laa3
罅	laa3
喇	laa4
孻	laai1
拉	laai1
𡃤	laai2
𦧺	laai2
癩	laai3
拉	laai6
攋	laai6
賴	laai6
嘞	laak1
喇	laak3
嘞	laak3
簕	laak6
攬	laam2
欖	laam2
藍	laam4
攬	laam6
纜	laam6
欄	laan1
躝	laan1
爛	laan2
讕	laan2
懶	laan5
爛	laan6
冷	laang1
啷	laang1
妠	laap3
擸	laap3
爉	laap3
𥅈	laap3
臘	laap6
列	laat3
剌	laat3
迾	laat6
撈	laau4
漏	laau6
戾	lai2
來	lai4
嚟	lai4
䚕	lai6
𧢝	lai6
嘞	lak1
勒	lak6
冧	lam1
啉	lam1
諗	lam2
冧	lam3
淋	lam4
林	lam5
㨆	lam6
惏	lang1
棱	lang2
笠	lap1
粒	lap1
甩	lat1
摟	lau1
褸	lau1
樓	lau2
漏	lau2
瘤	lau2
嘍	lau3
摟	lau3
流	lau4
留	lau4
柳	lau5
溜	lau6
漏	lau6
篱	lei1
嚟	lei4
釐	lei4
離	lei4
裏	lei5
𢃇	lei5
脷	lei6
膩	lei6
叻	lek1
靈	lek4
壢	lek6
癆	lek6
鈴	leng1
呤	leng3
靚	leng3
零	leng4
領	leng5
𨀤	leoi1
𨂐	leoi1
擂	leoi4
蕾	leoi4
驢	leoi4
裏	leoi5
累	leoi6
噒	leon1
輪	leon4
呢	li1
斂	lim2
燫	lim2
摙	lin2
臠	lin2
鍊	lin2
鏈	lin2
煉	lin6
拎	ling1
令	ling3
𨋢	lip1
擸	lip3
纈	lit3
裂	lit3
𤹐	lit3
裂	lit6
镽	liu1
𩯊	liu1
寮	liu2
撩	liu2
料	liu2
嫽	liu4
撩	liu4
料	liu6
囉	lo1
攞	lo2
腡	lo2
螺	lo2
囉	lo3
𤓓	lo3
囉	lo4
籮	lo4
鑼	lo4
𦧲	loe1
𦧲	loe2
娘	loeng1
兩	loeng2
糧	loeng4
量	loeng4
兩	loeng5
來	loi4
耐	loi6
犖	lok1
碌	lok1
轆	lok1
咯	lok3
淥	lok6
熝	lok6
落	lok6
啷	long1
閬	long2
𠺘	long2
啷	long3
狼	long4
㫰	long6
侸	long6
晾	long6
撈	lou1
攎	lou1
黸	lou1
佬	lou2
爐	lou4
鹵	lou5
潞	lou6
露	lou6
睩	luk1
碌	luk1
轆	luk1
淥	luk6
熝	luk6
窿	lung1
櫳	lung2
籠	lung4
櫳	lung5
籠	lung5
攣	lyun1
聯	lyun4
亂	lyun6
唔	m4
孖	maa1
嘛	maa3
榪	maa5
碼	maa5
嘛	maa6
賣	maai2
埋	maai4
埋	maai4 gaai1
賣	maai6
嘜	maak1
擘	maak3
摱	maan1
𢺳	maan1
蠻	maan4
晚	maan5
掹	maang1
綳	maang1
繃	maang1
蜢	maang2
盲	maang4
猛	maang5
貓	maau1
媌	maau4
矛	maau4
茅	maau5
冞	mai1
劘	mai1
咪	mai1
咪	mai5
咪	mai6
嘜	mak1
墨	mak2
癦	mak2
文	man1
炆	man1
蚊	man1
抆	man2
抿	man2
抆	man3
舋	man3
聞	man4
問	man6
掹	mang1
絣	mang1
䁅	mang2
𤷪	mang2
盟	mang4
乜	mat1
密	mat6
襪	mat6
缹	mau1
踎	mau1
謬	mau6
咩	me1
孭	me1
歪	me2
屘	mei1
渳	mei1
眯	mei1
睸	mei1
味	mei2
微	mei4
味	mei6
未	mei6
沒	mei6
命	meng6
面	min2
綿	min4
面	min6
麵	min6
明	ming4
搣	mit1
瞄	miu2
藐	miu2
𠴕	miu2
瞄	miu4
苗	miu4
嚤	mo1
摩	mo1
摸	mo2
磨	mo4
磨	mo6
網	mong1
望	mong6
毛	mou1
帽	mou2
模	mou2
舞	mou2
冇	mou5
舞	mou5
妹	mui1
妹	mui2
燘	mui2
霉	mui4
妹	mui6
鞔	mun1
門	mun4
悶	mun6
矇	mung1
懵	mung2
朦	mung4
濛	mung4
