丝帽	lo4 mou2
丝母	lo4 mou6
丝母	lo4 mou2
丝瓜	si1 gwaa1
丢时	diu1 si4
丢架	diu1 gaa3
丢架	diu1 gaa2
丢价	diu1 gaa3
丢价	diu1 gaa2
丢生	diu1 saang1
丢疏	diu1 baak6
丢眼角	diu1 ngaan5 gok3
两仔乸	loeng5 zai2 naa2
两仔爷	loeng5 zai2 je4
两份	loeng5 fan6
两份	loeng5 fan2
两便	loeng5 bin6
两公婆	loeng5 gung1 po4
两公婆	loeng5 gung1 po2
两句	loeng5 geoi3
两头唔到岸	loeng5 tau4 m4 dou3 ngon6
两头唔受中间受	loeng5 tau4 m4 sau6 zung1 gaan2 sau6
两头蛇	loeng5 tau4 se4
两家	loeng5 gaa1
两撇鸡	loeng5 pit3 gai1
两步路	loeng5 bou6 lou6
两睇	loeng5 tai2
两睇	loeng5 tai2
丧	song3
个	go3
个	go3
个噃	go3 bo3
个案	go3 on3
中意	zung1 ji3
钟意	zung1 ji3
中中哋	zung1 zung1 dei2
中亭	zung1 ting4
中亭	zung1 ting2
中学鸡	zung1 hok6 gai1
中巴	zung1 baa1
中心	zung1 sam1
中界球	zung1 gaai3 kau4
中褛	zung1 lau1
串	cyun3
串仔	cyun3 zai2
串女	cyun3 neoi5
串女	cyun3 neoi2
临天光赖尿	lam4 tin1 gwong1 laai6 niu6
临急临忙	lam4 gap1 lam4 mong4
临时临急	lam4 si4 lam4 gap1
丸仔	jyun2 zai2
为	wai4
为乜嘢	wai6 mat1 je6
为咗	wai6 zo2
为唔过	wei4 m4 gwo3
为得人	wai6 dak1 jan4
为得过	wai4 dak1 gwo3
为皮	wai4 pei4
为皮	wai4 pei2
为食	wai6 sik6
为食猫	wai6 sik6 maau1
乃	naai5
乃	naai2
乃	naai3
久唔久	gau2 m4 gau2
久时久	gau2 m4 gau2
之	zi1
之不过	zi1 bat1 gwo3
之但系	zi1 daan6 hai6
之嘛	zi1 maa3
乌囗囗	wu1 soe4 soe4
乌囗囗	wu1 soe2 soe4
乌劣劣	wu1 lyut1 lyut1
乌啄啄	wu1 doeng1 doeng1
乌天黑地	wu1 tin1 haak1 dei6
乌天黑地	wu1 tin1 hak1 dei6
乌头	wu1 tau4
乌头	wu1 tau4
乌搲	wu1 we5
乌灯黑火	wu1 dang1 haak1 fo2
乌灯黑火	wu1 dang1 hak1 fo2
乌眉瞌睡	wu1 mei4 hap1 seoi6
乌蝇	wu1 jing4
乌蝇	wu1 jing1
乌面猫	wu1 min6 maau1
乌鸡	wu1 gai1
乌黢黢	wu1 zyut1 zyut1
乌龙	wu1 lung4
乌龙	wu1 lung2
乌龙王	wu1 lung4 wong4
乌龙王	wu1 lung2 wong4
乌龟	wu1 gwai1
乐	ngaau6
乒乒囗囗	bing4 bing4 baang4 baang4
乒乓	bing4 bang4
乒乓	bing4 bam4
乒乓波	ping1 pang1 bo1
乓	bang4
乓	bam4
乖猪	gwaai1 zyu1
乜	mat1
乜	mat1
乜东东	mat1 dung1 dung1
乜乜物物	mat1 mat1 mat6 mat6
乜人	mat1 jan4
乜哩零青	me2 li1 ling4 cing3
乜嘢	mat1 je5
乜斜	me2 ce3
乜滞	mat1 zai6
乜鬼嘢	mat1 gwai2 je5
九因歌	gau2 jan1 go1
九曲十三弯	gau2 kuk1 sap6 saam1 waan1
乞人憎	hat1 jan4 zang1
乞儿	hat1 ji4
乞儿	hat1 ji1
乞儿相	hat1 ji4 soeng3
乞儿相	hat1 ji1 soeng3
乞嗤	hat1 ci1
乞嗤	at1 ci1
乞米	hat1 mai5
乞食	hat1 sik6
乡下	hoeng1 haa6
乡下	hoeng1 haa2
乡下兴	hoeng1 haa6 hing1
乡下兴	hoeng1 haa2 hing1
书虫	syu1 cung4
买水	maai5 seoi2
买餸	maai5 sung3
乱晒坑	lyun6 saai3 haang1
乱棍打死老师傅	leon6 gwan3 daa2 sei2 lou5 si1 fu6
乱棍打死老师傅	leon6 gwan3 daa2 sei2 lou5 si1 fu2
乱立立	lyun6 lap6 lap6
乱葬岗	lyun6 zong3 gong1
乱龙	lyun6 lung4
乱龙	lyun2 lung4
乳猪	jyu5 zyu1
乳鸽	jyu5 gaap3
乳鸽	jyu5 gaap2
乸	naa2
乸	naa2
争	zaang1
争	zaang1
争	zaang1
争	zaang1
争交	zaang1 gaau1
争啲	zaang1 di1
争天共地	zaang1 tin1 gung6 dei6
争天共地	zaang1 tin1 gung2 dei6
争成条墟	zaang1 seng4 tiu4 heoi1
事关	si6 gwaan1
事因	si6 jan1
事头	si6 tau4
事头	si6 tau2
事头婆	si6 tau4 po4
事实	si6 sat6
事干	si6 gon3
事急马行田	si6 gap1 maa5 haang4 tin4
事紧马行田	si6 gan2 maa5 haang4 tin4
二世祖	ji6 sai3 zou2
二仔底	ji6 zai2 dai2
二叔	ji6 suk1
二奶	ji6 naai5
二奶	ji6 naai1
二奶仔	ji6 naai5 zai2
二奶仔	ji6 naai1 zai2
二打六	ji6 daa2 luk6
二打六	ji6 daa2 luk2
二花面	ji6 faa1 min6
二花面	ji6 faa1 min2
二花面	ji6 faa1 min6
二花面	ji6 faa1 min2
于是乎	jyu1 si6 fu4
亏	kwai1
亏柴	kwai1 caai4
云吞	wan4 tan1
云石	wan4 sek6
云耳	wan4 ji5
五月节	ng5 jyut6 zit3
五柳鱼	ng5 lau5 jyu4
五柳鱼	ng5 lau5 jyu2
五爪金龙	ng5 zaau2 gam1 lung4
五筒柜	ng5 tung4 gwai6
五筒柜	ng5 tung2 gwai6
五蛇羹	ng5 se4 gang1
五邑	ng5 jap1
些少	se1 siu2
交关	gaau1 gwaan1
交叉	gaau1 caa1
交叉	kaau1 caa1
交带	gaau1 daai3
交带	gaau1 daai3
交粮	gaau1 loeng4
亦	jik6
亦即系	jik6 zik1 hai6
亦都	jik6 dou1
亦都	jik6 dou1
京果	ging1 gwo2
亲	can4
亲	can1
亲力亲为	can1 lik6 can1 wai4
亲朋戚友	can1 pang4 cik1 jau5
亲生	can1 saang1
人	jan4
人事	jan4 si6
人事	jan4 si2
人哋	jan4 dei6
